Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
680,62,2,0,2,200,0,Cascadura,Rio de Janeiro,norte
900,45,1,0,1,500,0,Méier,Rio de Janeiro,norte
1300,40,1,0,1,584,0,Tijuca,Rio de Janeiro,norte
1400,78,3,0,2,450,0,Andaraí,Rio de Janeiro,norte
2300,55,2,1,2,500,110,Pechincha, Rio de Janeiro,oeste
1650,100,2,1,2,150,0,Curicica,Rio de Janeiro,oeste
2000,110,2,1,3,0,0,Taquara,Rio de Janeiro,oeste
1500,56,2,1,1,639,48,Pechincha,Rio de Janeiro,oeste
3800,82,3,1,3,1350,250,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
950,44,2,1,1,380,0,Pechincha,Rio de Janeiro,oeste
1250,45,2,1,1,220,0,Parada de Lucas,Rio de Janeiro,norte
2600,77,2,1,2,950,240,Barra da Tijuca,Rio de Janeiro,oeste
6500,280,4,1,2,2680,1050,Copacabana,Rio de Janeiro,sul
850,50,2,0,2,0,0,Inhoaíba,Rio de Janeiro,oeste
1000,53,2,1,1,300,0,Irajá,Rio de Janeiro,norte
1590,55,2,0,1,590,0,Anil,Rio de Janeiro,oeste
2500,380,2,4,2,0,0,Bonsucesso,Rio de Janeiro,norte
850,64,2,0,1,484,0,Todos os Santos,Rio de Janeiro,norte
800,10,2,0,1,202,0,Turiaçu,Rio de Janeiro,norte
1810,90,3,0,1,0,0,Méier,Rio de Janeiro,norte
4250,76,2,1,2,1350,292,Lagoa,Rio de Janeiro,sul
2190,72,2,1,1,600,42,Jacarepaguá,Rio de Janeiro,oeste
1300,50,3,1,2,450,0,Piedade,Rio de Janeiro,norte
1369,67,2,0,2,380,0,Grajaú,Rio de Janeiro,norte
1000,30,1,0,1,396,0,Tijuca,Rio de Janeiro,norte
1000,70,2,0,1,0,63,Riachuelo,Rio de Janeiro,norte
2800,60,1,1,1,997,188,Botafogo,Rio de Janeiro,sul
900,50,2,1,1,650,1000,Taquara,Rio de Janeiro,oeste
1100,70,2,0,1,0,0,Jardim Sulacap,Rio de Janeiro,oeste
1500,80,2,2,1,860,51,Méier,Rio de Janeiro,norte
2400,56,2,1,2,470,44,Del Castilho,Rio de Janeiro,norte
1400,70,2,0,1,600,457,São Cristóvão,Rio de Janeiro,centro
800,58,2,1,1,770,0,Itanhangá,Rio de Janeiro,oeste
5850,98,2,1,3,2100,541,Lagoa,Rio de Janeiro,sul
3028,145,4,0,3,0,0,Laranjeiras,Rio de Janeiro,sul
1500,80,2,0,2,350,0,São Cristóvão,Rio de Janeiro,centro
1100,60,2,0,1,0,0,Bonsucesso,Rio de Janeiro,norte
1300,45,2,0,1,0,68,Curicica,Rio de Janeiro,oeste
1000,61,2,0,1,570,0,Olaria,Rio de Janeiro,norte
1900,86,2,0,1,0,60,Grajaú,Rio de Janeiro,norte
820,40,1,1,1,427,0,Olaria,Rio de Janeiro,norte
1800,73,2,1,2,763,0,Irajá,Rio de Janeiro,norte
900,50,2,0,1,170,0,Encantado,Rio de Janeiro,norte
700,50,2,1,1,290,20,Jardim América,Rio de Janeiro,norte
6200,134,3,1,3,1718,573,Botafogo,Rio de Janeiro,sul
2699,98,4,2,2,750,197,Jacarepaguá,Rio de Janeiro,oeste
1200,60,2,1,1,500,68,Taquara,Rio de Janeiro,oeste
1050,78,2,0,1,465,54,Méier,Rio de Janeiro,norte
6200,167,4,2,3,1500,277,Pechincha,Rio de Janeiro,oeste
1800,80,3,2,2,970,100,Taquara,Rio de Janeiro,oeste
1153,70,2,1,1,437,0,Penha,Rio de Janeiro,norte
2100,86,2,1,3,673,189,Grajaú,Rio de Janeiro,norte
1350,40,2,0,1,180,0,Vila da Penha, Rio de Janeiro,norte
1200,70,2,1,1,1100,45,Rio Comprido,Rio de Janeiro,centro
2100,55,2,1,1,550,0,Anil,Rio de Janeiro,oeste
3100,64,2,1,2,947,140,Jacarepaguá,Rio de Janeiro,oeste
1220,150,3,0,1,0,0,Quintino Bocaiuva,Rio de Janeiro,norte
1300,54,2,1,2,603,49,Pechincha,Rio de Janeiro,oeste
2800,60,2,1,2,550,245,Jardim Guanabara,Rio de Janeiro,norte
1350,65,2,0,2,450,0,Rio Comprido,Rio de Janeiro,centro
900,46,2,1,1,300,0,Freguesia,Rio de Janeiro,norte
2400,100,4,1,3,551,84,Vila Valqueire,Rio de Janeiro,oeste
