Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
1773,38,1,0,1,550,60,Botafogo,Rio de Janeiro,sul
1250,67,2,1,1,0,0,Colégio,Rio de Janeiro,norte
2300,80,2,1,2,0,0,Campo Grande,Rio de Janeiro,oeste
1000,75,2,1,3,750,97,Engenho Novo, Rio de Janeiro,norte
2500,100,3,1,2,0,25,Engenho Novo,Rio de Janeiro,norte
1200,79,3,0,2,770,40,Bonsucesso,Rio de Janeiro,norte
3850,99,3,2,1,1150,300,Tijuca,Rio de Janeiro,norte
900,65,2,1,1,426,0,Vila da Penha,Rio de Janeiro,norte
1700,58,2,1,2,650,78,Vila Isabel,Rio de Janeiro,norte
7000,107,3,2,3,1530,380,Barra da Tijuca,Rio de Janeiro,oeste
2600,40,1,0,1,815,215,Ipanema,Rio de Janeiro,sul
1250,50,2,1,1,440,480,Bangu,Rio de Janeiro,oeste
2746,112,3,1,3,100,75,Taquara,Rio de Janeiro,oeste
1300,49,2,0,1,400,0,Portuguesa,Rio de Janeiro,norte
1000,54,2,0,5,460,0,Cachambi,Rio de Janeiro,norte
1000,45,1,0,1,0,0,Penha Circular,Rio de Janeiro,norte
700,50,1,1,1,310,0,Pilares,Rio de Janeiro,norte
710,70,1,0,1,240,0,Quintino Bocaiuva,Rio de Janeiro,norte
800,60,2,0,1,0,0,Paciência, Rio de Janeiro,oeste
900,30,1,0,1,0,0,Engenho Novo,Rio de Janeiro,norte
1000,80,3,1,2,850,95,Lins de Vasconcelos,Rio de Janeiro,norte
2000,67,2,1,1,837,99,Camorim,Rio de Janeiro,oeste
1900,95,3,1,2,798,46,São Cristóvão,Rio de Janeiro,centro
4800,90,3,1,2,1750,360,Botafogo,Rio de Janeiro,sul
950,40,1,0,1,667,159,Centro,Rio de Janeiro,centro
2700,91,3,2,3,1500,350,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
2800,98,3,1,1,900,110,Taquara,Rio de Janeiro,oeste
800,35,1,0,1,0,0,Todos os Santos,Rio de Janeiro,norte
0,120,2,4,3,0,0,Vargem Grande,Rio de Janeiro,oeste
1500,80,2,0,2,350,0,São Cristóvão,Rio de Janeiro,centro
880,50,2,0,1,220,15,Pilares,Rio de Janeiro,norte
1150,57,2,0,1,558,49,Taquara,Rio de Janeiro,oeste
1100,68,3,1,1,758,48,Olaria,Rio de Janeiro,norte
1100,49,2,0,1,250,0,Pechincha,Rio de Janeiro,oeste
1500,95,2,1,1,0,0,Piedade,Rio de Janeiro,norte
3600,192,3,2,5,640,190,Vargem Grande,Rio de Janeiro,oeste
1600,100,3,1,1,50,100,Praça Seca,Rio de Janeiro,oeste
1200,47,1,0,1,710,65,Tijuca,Rio de Janeiro,norte
1790,25,1,0,1,0,0,Copacabana,Rio de Janeiro,sul
1400,56,2,1,2,657,0,Vila da Penha,Rio de Janeiro,norte
650,45,1,1,1,150,0,Campo Grande,Rio de Janeiro,oeste
9000,270,4,1,3,2300,600,Botafogo,Rio de Janeiro,sul
6000,159,3,1,2,1465,562,Copacabana,Rio de Janeiro,sul
7800,50,1,1,2,0,0,Ipanema,Rio de Janeiro,sul
1600,72,2,1,1,0,68,Taquara, Rio de Janeiro,oeste
1200,77,2,1,2,693,92,Freguesia de Jacarepaguá,Rio de Janeiro,oeste
1050,85,3,2,2,610,0,Penha Circular,Rio de Janeiro,norte
1900,64,2,1,2,933,83,Tijuca,Rio de Janeiro,norte
2800,72,2,1,1,850,246,Copacabana,Rio de Janeiro,sul
1200,60,2,0,1,0,41,Quintino Bocaiuva,Rio de Janeiro,norte
2800,87,3,1,1,0,0,Taquara,Rio de Janeiro,oeste
1000,56,2,0,1,0,0,Vicente de Carvalho,Rio de Janeiro,norte
2100,110,3,1,3,430,1521,Vila Kosmos,Rio de Janeiro,norte
1100,42,2,0,1,380,0,Cacuia,Rio de Janeiro,norte
600,40,1,0,1,0,0,Oswaldo Cruz,Rio de Janeiro,norte
1050,50,1,0,1,0,0,Jardim Carioca,Rio de Janeiro,norte
1200,50,1,0,1,250,22,Rocha,Rio de Janeiro,norte
1450,72,2,0,1,480,67,Vila Isabel,Rio de Janeiro,norte
1800,71,1,0,1,0,100,Santa Teresa,Rio de Janeiro,centro
749,46,2,0,1,120,0,Engenheiro Leal,Rio de Janeiro,norte
1660,100,2,1,3,0,0,Campo Grande,Rio de Janeiro,oeste
1350,40,2,0,1,180,0,Vila da Penha, Rio de Janeiro,norte
3400,250,6,0,3,0,167,São Cristóvão,Rio de Janeiro,centro
1800,135,2,3,1,100,0,Guaratiba,Rio de Janeiro,oeste
1150,52,2,1,2,622,0,Vila Isabel,Rio de Janeiro,norte
2000,53,2,1,1,820,124,Barra da Tijuca, Rio de Janeiro,oeste
1100,70,2,0,2,521,78,Engenho De Dentro,Rio de Janeiro,norte
1000,54,2,1,1,420,0,Rocha Miranda,Rio de Janeiro,norte
1990,85,3,1,2,945,68,Vila Isabel,Rio de Janeiro,norte
1300,67,2,1,1,0,0,Praça Seca,Rio de Janeiro,oeste
3000,85,3,0,1,450,154,Botafogo,Rio de Janeiro,sul
2500,115,3,0,2,660,179,Tijuca,Rio de Janeiro,norte
2000,80,3,0,2,0,0,Higienópolis,Rio de Janeiro,norte
2800,79,3,1,2,650,1000,Pechincha,Rio de Janeiro,oeste
3200,35,1,0,1,950,219,Leblon,Rio de Janeiro,sul
780,65,2,0,1,288,0,Senador Camará,Rio de Janeiro,oeste
1800,67,3,0,2,10,0,Engenho De Dentro,Rio de Janeiro,norte
800,50,2,1,1,290,20,Jardim América,Rio de Janeiro,norte
